"","release_type","run","sex","release_location_rmis_basin","age","brood_year","fishery","gear","release_age","length","y_n","release_length"
"257","one_YO_fall",3,"M","YOCL",3,1998,50,"21",1,721.3,40,121.307906824147
"258","one_YO_fall",3,"M","YOCL",3,1998,54,"03",1,680,2,121.307906824147
"259","one_YO_fall",3,"M","YOCL",3,1999,21,"13",1,708.563636363636,55,121.307906824147
"260","one_YO_fall",3,"M","YOCL",3,1999,50,"21",1,707.071428571429,112,121.307906824147
"261","one_YO_fall",3,"M","YOCL",3,2000,21,"13",1,668.285714285714,7,121.307906824147
"262","one_YO_fall",3,"M","YOCL",3,2000,50,"21",1,708.857142857143,14,121.307906824147
"263","one_YO_fall",3,"M","YOCL",3,2000,50,"22",1,651,4,121.307906824147
"264","one_YO_fall",3,"M","YOCL",3,2000,54,"18",1,760,2,121.307906824147
"265","one_YO_fall",3,"M","YOCL",3,2002,21,"13",1,678.352941176471,17,121.307906824147
"266","one_YO_fall",3,"M","YOCL",3,2002,50,"21",1,737.5,8,121.307906824147
"267","one_YO_fall",3,"M","YOCL",3,2004,50,"21",1,722.6,40,121.307906824147
"268","one_YO_fall",3,"M","YOCL",4,1983,21,"13",1,917,1,121.307906824147
"269","one_YO_fall",3,"M","YOCL",4,1983,50,"01",1,877.5,12,121.307906824147
"270","one_YO_fall",3,"M","YOCL",4,1983,50,"21",1,831.666666666667,24,121.307906824147
"271","one_YO_fall",3,"M","YOCL",4,1983,50,"22",1,831.782608695652,46,121.307906824147
"272","one_YO_fall",3,"M","YOCL",4,1983,61,"15",1,840,1,121.307906824147
"273","one_YO_fall",3,"M","YOCL",4,1984,21,"13",1,796.666666666667,3,121.307906824147
"274","one_YO_fall",3,"M","YOCL",4,1984,50,"01",1,736.666666666667,18,121.307906824147
"275","one_YO_fall",3,"M","YOCL",4,1984,50,"21",1,754.018181818182,110,121.307906824147
"276","one_YO_fall",3,"M","YOCL",4,1984,50,"22",1,840,4,121.307906824147
"277","one_YO_fall",3,"M","YOCL",4,1984,50,"50",1,778.75,24,121.307906824147
"278","one_YO_fall",3,"M","YOCL",4,1984,52,"24",1,990,2,121.307906824147
