"","release_type","run","sex","release_location_rmis_basin","brood_year","length_age3","length_age4","length_age5"
"319","one_YO_summer",3,"F","YOCL",1981,759.95,895.09219858156,NA
"320","one_YO_summer",3,"F","YOCL",1982,703.233576642336,815.527659574468,NA
"321","one_YO_summer",3,"F","YOCL",1983,713.493670886076,842.619047619048,NA
"322","one_YO_summer",3,"F","YOCL",1984,690.962962962963,806.164772727273,NA
"323","one_YO_summer",3,"F","YOCL",1985,755.909090909091,874.9,NA
"324","one_YO_summer",3,"F","YOCL",1986,717.65306122449,824.11801242236,NA
"325","one_YO_summer",3,"F","YOCL",1987,748.909090909091,845.203883495146,NA
"326","one_YO_summer",3,"F","YOCL",1988,789.274725274725,901.414141414141,NA
"327","one_YO_summer",3,"F","YOCL",1989,681.775757575758,NA,NA
"328","one_YO_summer",3,"F","YOCL",1990,NA,788.593607305936,NA
"329","one_YO_summer",3,"F","YOCL",1991,716.591928251121,796.56884057971,NA
"330","one_YO_summer",3,"F","YOCL",1992,781.352941176471,856,NA
"331","one_YO_summer",3,"F","YOCL",1993,703.1,787.055555555556,NA
"332","one_YO_summer",3,"F","YOCL",1994,661.368421052632,781.777777777778,NA
"333","one_YO_summer",3,"F","YOCL",1995,623.6875,779.008,NA
"334","one_YO_summer",3,"F","YOCL",1996,763.140625,842.731707317073,NA
"335","one_YO_summer",3,"F","YOCL",1997,734.486111111111,866.58,NA
"336","one_YO_summer",3,"F","YOCL",1998,785.704672897196,895.657381615599,NA
"337","one_YO_summer",3,"F","YOCL",1999,783.152284263959,914.496535796767,NA
"338","one_YO_summer",3,"F","YOCL",2000,799.946601941748,893.969762419006,NA
"339","one_YO_summer",3,"F","YOCL",2001,736.785123966942,864.914438502674,NA
"340","one_YO_summer",3,"F","YOCL",2002,767.138461538462,885.121212121212,NA
"341","one_YO_summer",3,"F","YOCL",2003,724.865853658537,900.740740740741,NA
"342","one_YO_summer",3,"F","YOCL",2004,762.677777777778,832.433962264151,NA
"343","one_YO_summer",3,"F","YOCL",2005,783.151685393258,893.694915254237,NA
"344","one_YO_summer",3,"F","YOCL",2006,808.064864864865,908.098360655738,NA
"345","one_YO_summer",3,"F","YOCL",2007,809.415730337079,888.604060913706,NA
"346","one_YO_summer",3,"F","YOCL",2008,787.185714285714,839.125,NA
"347","one_YO_summer",3,"F","YOCL",2009,776.990974729242,836.387755102041,NA
"348","one_YO_summer",3,"M","COWL",1977,689.285714285714,894.333333333333,996.551724137931
"349","one_YO_summer",3,"M","COWL",1978,668.147368421053,832.068965517241,NA
"350","one_YO_summer",3,"M","COWL",1980,674.056224899598,830.241379310345,962.857142857143
