,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.969E+03,3E+00,-7.334626E-01,,,
,1.969E+03,4E+00,-1.832465E-01,,,
,1.969E+03,5E+00,-9.0880893E-02,,,
,1.969E+03,6E+00,-7.7551688E-01,,,
,1.969E+03,7E+00,-7.3089032E-01,,,
,1.969E+03,8E+00,-2.3232563E-01,,,
,1.969E+03,9E+00,1.5210575E-02,,,
,1.969E+03,1E+01,2.8993968E-01,,,
,1.969E+03,1.1E+01,-4.127024E-02,,,
,1.969E+03,1.2E+01,1.1272413E+00,,,
,1.97E+03,1E+00,-1.9163922E-01,,,
,1.97E+03,2E+00,-3.2133677E-01,,,
,1.97E+03,3E+00,-4.1263578E-01,,,
,1.97E+03,4E+00,-2.2177049E-01,,,
,1.97E+03,5E+00,4.8417772E-01,,,
,1.97E+03,6E+00,3.7084586E-01,,,
,1.97E+03,7E+00,2.7240294E-01,,,
,1.97E+03,8E+00,4.1332336E-01,,,
,1.97E+03,9E+00,3.9857819E-01,,,
,1.97E+03,1E+01,2.2630739E-01,,,
,1.97E+03,1.1E+01,-2.1421458E-01,,,
,1.97E+03,1.2E+01,-7.1520774E-02,,,
,1.971E+03,1E+00,-2.0162668E-01,,,
,1.971E+03,2E+00,5.9600681E-02,,,
,1.971E+03,3E+00,4.5392927E-01,,,
,1.971E+03,4E+00,8.5376876E-01,,,
,1.971E+03,5E+00,4.9495693E-01,,,
,1.971E+03,6E+00,4.1262019E-01,,,
,1.971E+03,7E+00,7.9092532E-01,,,
,1.971E+03,8E+00,7.0605099E-01,,,
,1.971E+03,9E+00,5.2842538E-01,,,
,1.971E+03,1E+01,3.306484E-01,,,
,1.971E+03,1.1E+01,1.8247128E-01,,,
,1.971E+03,1.2E+01,-2.7959273E-02,,,
,1.972E+03,1E+00,-5.305133E-01,,,
,1.972E+03,2E+00,-4.0844138E-01,,,
,1.972E+03,3E+00,-6.9411044E-01,,,
,1.972E+03,4E+00,-6.8113067E-01,,,
,1.972E+03,5E+00,-7.4738833E-01,,,
,1.972E+03,6E+00,-7.609987E-01,,,
,1.972E+03,7E+00,-3.2239863E-01,,,
,1.972E+03,8E+00,-4.2736154E-01,,,
,1.972E+03,9E+00,-9.2539715E-01,,,
,1.972E+03,1E+01,-1.0954562E+00,,,
,1.972E+03,1.1E+01,-5.5620606E-01,,,
,1.972E+03,1.2E+01,-7.6224231E-01,,,
,1.973E+03,1E+00,-4.8363215E-02,,,
,1.973E+03,2E+00,-5.0339577E-01,,,
,1.973E+03,3E+00,-7.2347531E-02,,,
,1.973E+03,4E+00,-5.0589071E-02,,,
,1.973E+03,5E+00,2.5466121E-01,,,
,1.973E+03,6E+00,5.1442802E-01,,,
,1.973E+03,7E+00,3.2357245E-01,,,
,1.973E+03,8E+00,1.6718172E-01,,,
,1.973E+03,9E+00,3.572996E-01,,,
,1.973E+03,1E+01,3.5027916E-01,,,
,1.973E+03,1.1E+01,-1.1299269E-01,,,
,1.973E+03,1.2E+01,3.3929289E-01,,,
,1.974E+03,1E+00,-1.0033867E+00,,,
,1.974E+03,2E+00,-3.8642797E-01,,,
,1.974E+03,3E+00,-2.6205274E-02,,,
,1.974E+03,4E+00,1.4818799E-02,,,
